CityName;Latitude;Longitude;PostalCode;CountryCode
Albsfelde;53.6803;10.6946;23909;DE
Albstadt;48.221;8.9404;72459;DE
Albstadt;48.2137;9.02346;72458;DE
Albstadt;48.2759;9.00822;72461;DE
Aldenhoven;50.8949;6.28712;52457;DE
Aldersbach;48.59;13.0887;94501;DE
Aldingen;48.0928;8.70048;78554;DE
Alerheim;48.8466;10.6163;86733;DE
Alesheim;49.0474;10.8646;91793;DE
Aletshausen;48.1972;10.3896;86480;DE
Alf;50.0574;7.12745;56859;DE
Alfdorf;48.8442;9.72292;73553;DE
Alfeld;49.429;11.5441;91236;DE
Alfeld (Leine);51.983;9.82791;31061;DE
Alfhausen;52.5003;7.95198;49594;DE
Alflen;50.177;7.03954;56828;DE
Alfstedt;53.5486;9.06763;27432;DE
Alfter;50.738;7.0107;53347;DE
Algenstedt;52.5975;11.4433;39638;DE
Algermissen;52.2525;9.96957;31191;DE
Alheim;51.0247;9.66819;36211;DE
Alikendorf;51.9925;11.3193;39398;DE
Alken;50.2483;7.44804;56332;DE
Alkersleben;50.8485;11.0417;99310;DE
Alkersum;54.707;8.51038;25938;DE
Allenbach;49.7545;7.16718;55758;DE
Allendorf;50.2679;7.99874;56370;DE
Allendorf;50.6548;11.1587;07426;DE
Allendorf (Eder);51.0357;8.67288;35108;DE
Allendorf (Eder) Battenfeld;51.0196;8.65935;35108;DE
Allendorf (Eder) Haine;51.0408;8.71964;35108;DE
Allendorf (Eder) Osterfeld;51.0594;8.65085;35108;DE
Allendorf (Eder) Rennertehausen;51.0255;8.69078;35108;DE
Allendorf (Lumda);50.6778;8.82295;35469;DE
Allenfeld;49.8673;7.66957;55595;DE
Allensbach;47.7172;9.06635;78476;DE
Alleringersleben;52.2141;11.142;39343;DE
Allersberg;49.2513;11.2366;90584;DE
Allershausen;48.4312;11.5971;85391;DE
Alleshausen;48.1035;9.62186;88422;DE
Alling;48.1409;11.2997;82239;DE
Allmannshofen;48.612;10.807;86695;DE
Allmannsweiler;48.0285;9.59399;88348;DE
Allmendingen;48.3274;9.72028;89604;DE
Allmersbach im Tal;48.9069;9.4705;71573;DE
Allrode;51.6771;10.9691;06507;DE
Allstedt;51.4042;11.3882;06542;DE
Almdorf;54.5828;9.01501;25821;DE
Almersbach;50.675;7.62849;57610;DE
Almstedt;52.0327;9.96138;31079;DE
Alpen;51.5756;6.51201;46519;DE
Alpenrod;50.6378;7.86221;57642;DE
Alperstedt;51.094;11.0469;99195;DE
Alpirsbach;48.3436;8.4017;72275;DE
Alsbach;50.4633;7.66151;56237;DE
Alsbach-Hähnlein;49.7366;8.58523;64665;DE
Alsdorf;50.7767;7.8831;57518;DE
Alsdorf;50.8716;6.16484;52477;DE
Alsdorf;49.8882;6.46659;54668;DE
Alsenbrück-Langmeil;49.5677;7.88531;67722;DE
Alsenz;49.7247;7.81447;67821;DE
Alsfeld;50.7508;9.26916;36304;DE
Alsheim;49.7657;8.34029;67577;DE
Alsleben (Saale);51.7002;11.6792;06425;DE
Alt Bennebek;54.3775;9.43297;24848;DE
Alt Bukow;53.9977;11.6099;18233;DE
Alt Duvenstedt;54.3578;9.64259;24791;DE
Alt Kätwin;53.9603;12.3164;18299;DE
Alt Krenzlin;53.3175;11.3096;19288;DE
Alt Krüssow;53.1543;12.2785;16928;DE
Alt Meteln;53.7491;11.3411;19069;DE
Alt Mölln;53.6225;10.6713;23881;DE
Alt Rehse;53.4974;13.1609;17217;DE
Alt Ruppin;52.9604;12.8905;16827;DE
Alt Schönau;53.5832;12.7288;17192;DE
Alt Schwerin;53.5119;12.349;17214;DE
Alt Sührkow;53.8041;12.65;17166;DE
Alt Tellin;53.8451;13.2428;17129;DE
Alt Tucheband;52.5389;14.5122;15328;DE
Alt Tucheband Alt Tucheband;52.5386;14.4864;15328;DE
Alt Tucheband Hathenow;52.5087;14.5295;15328;DE
Alt Tucheband Ratstock;52.5513;14.5533;15328;DE
Alt Zachun;53.496;11.336;19230;DE
Alt Zauche;51.9012;14.0274;15913;DE
Alt-Schadow;51.9901;13.7778;15910;DE
Altbach;48.7273;9.38164;73776;DE
